syscalls,result,n_run,n_passed,n_failed,n_skipped
fstatfs,All Pass,4,4,0,0
fsync,Some Fail,4,3,1,0
ftruncate,Some Fail,6,4,2,0
futex,Some Fail,11,10,1,4
futimesat,All Pass,1,1,0,0
getcontext,All Pass,1,1,0,0
getcpu,All Pass,1,1,0,0
getcwd,All Pass,3,3,0,1
getdents,All Pass,2,2,0,0
getdomainname,All Pass,1,1,0,0
getdtablesize,Some Fail,1,0,1,0
getegid,All Pass,2,2,0,2
geteuid,All Pass,2,2,0,2
getgid,All Pass,2,2,0,2
getgroups,All Pass,2,2,0,2
gethostbyname_r,All Pass,1,1,0,0
gethostid,All Pass,1,1,0,0
gethostname,All Pass,1,1,0,0
getitimer,All Pass,2,2,0,0
get_mempolicy,All Pass,0,0,0,2
getpagesize,All Pass,1,1,0,0
getpeername,All Pass,1,1,0,0
getpgid,Some Fail,2,1,1,0
getpgrp,All Pass,1,1,0,0
getpid,All Pass,2,2,0,0
getppid,All Pass,2,2,0,0
getpriority,All Pass,2,2,0,0
getrandom,All Pass,4,4,0,0
getresgid,All Pass,3,3,0,3
getresuid,All Pass,3,3,0,3
getrlimit,All Pass,3,3,0,0
get_robust_list,All Pass,1,1,0,0
getrusage,Some Fail,3,2,1,1
getsid,All Pass,2,2,0,0
getsockname,All Pass,1,1,0,0
getsockopt,All Pass,2,2,0,0
gettid,All Pass,1,1,0,0
gettimeofday,All Pass,2,2,0,0
getuid,All Pass,2,2,0,2
getxattr,All Pass,3,3,0,2
init_module,Some Fail,2,0,2,0
inotify,Some Fail,12,10,2,0
inotify_init,All Pass,2,2,0,0
io_cancel,Some Fail,1,0,1,1
ioctl,Fail: Kernel Panic,0,0,0,0
io_destroy,Some Fail,1,0,1,1
io_getevents,Some Fail,1,0,1,1
ioperm,Some Fail,2,0,2,0
io_pgetevents,All Pass,0,0,0,2
iopl,Some Fail,2,0,2,0
ioprio,All Pass,4,4,0,0
io_setup,Some Fail,1,0,1,1
io_submit,Some Fail,2,0,2,1
io_uring,All Pass,2,2,0,0
msgctl,All Pass,6,6,0,1
msgget,Some Fail,5,3,2,0
msgrcv,Some Fail,7,6,1,0
msgsnd,All Pass,4,4,0,0
msgstress,No Info,0,0,0,0
semctl,All Pass,8,8,0,1
semget,All Pass,3,3,0,0
semop,All Pass,5,5,0,0
shmat,All Pass,3,3,0,0
shmctl,All Pass,7,7,0,1
shmdt,All Pass,2,2,0,0
shmget,Some Fail,5,2,3,0
kcmp,All Pass,3,3,0,0
keyctl,Some Fail,9,8,1,0
kill,Some Fail,11,10,1,0
lchown,All Pass,3,3,0,3
lgetxattr,All Pass,2,2,0,0
link,All Pass,6,6,0,0
linkat,All Pass,2,2,0,0
listen,All Pass,1,1,0,0
listxattr,All Pass,3,3,0,0
llistxattr,All Pass,3,3,0,0
llseek,All Pass,3,3,0,0
lremovexattr,All Pass,1,1,0,0
lseek,All Pass,4,4,0,0
lstat,All Pass,6,6,0,0
madvise,All Pass,6,6,0,4
mallinfo,All Pass,1,1,0,0
mallinfo2,All Pass,1,1,0,0
mallopt,All Pass,1,1,0,0
mbind,All Pass,0,0,0,4
membarrier,All Pass,1,1,0,0
memcmp,All Pass,1,1,0,0
memcpy,All Pass,1,1,0,0
memfd_create,All Pass,2,2,0,2
memset,All Pass,1,1,0,0
migrate_pages,All Pass,0,0,0,3
mincore,All Pass,4,4,0,0
mkdir,All Pass,6,6,0,0
mkdirat,All Pass,2,2,0,0
mknod,All Pass,9,9,0,0
mknodat,All Pass,2,2,0,0
mlock,All Pass,4,4,0,0
mlock2,All Pass,3,3,0,0
mlockall,All Pass,3,3,0,0
mmap,All Pass,18,18,0,0
modify_ldt,All Pass,0,0,0,3
mount,All Pass,7,7,0,0
mount_setattr,All Pass,1,1,0,0
move_mount,All Pass,2,2,0,0
move_pages,All Pass,0,0,0,11
mprotect,All Pass,5,5,0,0
mq_notify,All Pass,3,3,0,0
mq_open,All Pass,1,1,0,0
mq_timedreceive,All Pass,1,1,0,0
mq_timedsend,All Pass,1,1,0,0
mq_unlink,All Pass,1,1,0,0
mremap,All Pass,6,6,0,0
msync,All Pass,4,4,0,0
munlock,All Pass,2,2,0,0
munlockall,All Pass,1,1,0,0
munmap,All Pass,3,3,0,0
name_to_handle_at,All Pass,2,2,0,0
nanosleep,All Pass,3,3,0,0
newuname,All Pass,1,1,0,0
nftw,All Pass,2,2,0,0
nice,All Pass,5,5,0,0
open,All Pass,14,14,0,0
openat,Some Fail,4,3,1,0
openat2,All Pass,3,3,0,0
open_by_handle_at,All Pass,2,2,0,0
open_tree,All Pass,2,2,0,0
pathconf,All Pass,1,1,0,0
pause,All Pass,3,3,0,0
perf_event_open,All Pass,1,1,0,2
personality,All Pass,2,2,0,0
pidfd_getfd,All Pass,2,2,0,0
pidfd_open,All Pass,4,4,0,0
pidfd_send_signal,All Pass,3,3,0,0
pipe,All Pass,14,14,0,0
pipe2,All Pass,3,3,0,0
pivot_root,All Pass,1,1,0,0
pkeys,All Pass,0,0,0,1
poll,All Pass,2,2,0,0
ppoll,All Pass,1,1,0,0
prctl,All Pass,9,9,0,1
pread,All Pass,4,4,0,0
preadv,All Pass,6,6,0,0
preadv2,All Pass,6,6,0,0
process_madvise,Some Fail,1,0,1,0
profil,All Pass,1,1,0,0
pselect,All Pass,6,6,0,0
ptrace,All Pass,8,8,0,2
pwrite,All Pass,8,8,0,0
pwritev,All Pass,6,6,0,0
pwritev2,All Pass,4,4,0,0
quotactl,All Pass,0,0,0,9
read,All Pass,4,4,0,0
readahead,All Pass,2,2,0,0
readdir,All Pass,1,1,0,1
readlink,All Pass,3,3,0,0
readlinkat,All Pass,2,2,0,0
readv,All Pass,2,2,0,0
realpath,All Pass,1,1,0,0
reboot,All Pass,2,2,0,0
recv,Some Fail,1,0,1,0
recvfrom,Some Fail,1,0,1,0
recvmmsg,Some Fail,1,0,1,0
recvmsg,Some Fail,2,0,2,1
remap_file_pages,Some Fail,2,1,1,0
removexattr,All Pass,2,2,0,0
rename,All Pass,14,14,0,0
renameat,All Pass,1,1,0,0
renameat2,All Pass,2,2,0,0
request_key,All Pass,5,5,0,0
rmdir,All Pass,4,4,0,0
rt_sigaction,All Pass,3,3,0,0
rt_sigprocmask,All Pass,2,2,0,0
rt_sigqueueinfo,All Pass,1,1,0,0
rt_sigsuspend,All Pass,1,1,0,0
rt_sigtimedwait,All Pass,1,1,0,0
rt_tgsigqueueinfo,All Pass,1,1,0,0
sbrk,Some Fail,2,1,1,1
sched_getaffinity,All Pass,1,1,0,0
sched_getattr,All Pass,2,2,0,0
sched_getparam,All Pass,2,2,0,0
sched_get_priority_max,All Pass,2,2,0,0
sched_get_priority_min,All Pass,2,2,0,0
sched_getscheduler,All Pass,2,2,0,0
sched_rr_get_interval,All Pass,3,3,0,0
sched_setaffinity,All Pass,1,1,0,0
sched_setattr,All Pass,1,1,0,0
sched_setparam,All Pass,5,5,0,0
sched_setscheduler,All Pass,3,3,0,0
sched_yield,All Pass,1,1,0,0
select,All Pass,4,4,0,0
send,Some Fail,2,0,2,0
sendfile,All Pass,14,14,0,2
sendmmsg,Some Fail,2,1,1,0
sendmsg,Some Fail,3,1,2,0
sendto,Some Fail,2,0,2,1
setdomainname,All Pass,3,3,0,0
setegid,All Pass,2,2,0,0
setfsgid,All Pass,3,3,0,3
setfsuid,All Pass,4,4,0,4
setgid,All Pass,3,3,0,3
setgroups,All Pass,3,3,0,3
sethostname,All Pass,3,3,0,0
setitimer,All Pass,2,2,0,0
set_mempolicy,All Pass,0,0,0,4
setns,All Pass,2,2,0,0
setpgid,All Pass,3,3,0,0
setpgrp,All Pass,2,2,0,0
setpriority,All Pass,2,2,0,0
setregid,All Pass,4,4,0,4
setresgid,All Pass,4,4,0,4
setresuid,All Pass,5,5,0,5
setreuid,All Pass,7,7,0,7
setrlimit,All Pass,6,6,0,0
set_robust_list,All Pass,1,1,0,0
setsid,All Pass,1,1,0,0
setsockopt,Some Fail,9,4,5,0
set_thread_area,All Pass,0,0,0,1
set_tid_address,All Pass,1,1,0,0
settimeofday,All Pass,2,2,0,0
setuid,All Pass,3,3,0,3
setxattr,All Pass,3,3,0,0
sgetmask,All Pass,0,0,0,1
sigaction,All Pass,2,2,0,0
sigaltstack,All Pass,2,2,0,0
sighold,All Pass,1,1,0,0
signal,All Pass,6,6,0,0
signalfd,All Pass,1,1,0,0
signalfd4,All Pass,2,2,0,0
sigpending,All Pass,1,1,0,0
sigprocmask,All Pass,1,1,0,0
sigrelse,All Pass,1,1,0,0
sigsuspend,All Pass,1,1,0,0
sigtimedwait,All Pass,1,1,0,0
sigwait,All Pass,1,1,0,0
sigwaitinfo,All Pass,1,1,0,0
socket,All Pass,2,2,0,0
socketcall,All Pass,0,0,0,3
socketpair,All Pass,2,2,0,0
sockioctl,Some Fail,1,0,1,0
splice,All Pass,5,5,0,0
ssetmask,All Pass,0,0,0,1
stat,All Pass,8,8,0,0
statfs,All Pass,6,6,0,0
statvfs,All Pass,2,2,0,0
statx,Some Fail,9,7,2,3
stime,All Pass,2,2,0,0
string,All Pass,1,1,0,0
swapoff,All Pass,2,2,0,0
swapon,All Pass,3,3,0,0
switch,All Pass,0,0,0,1
symlink,All Pass,5,5,0,0
symlinkat,All Pass,1,1,0,0
sync,Some Fail,1,0,1,0
sync_file_range,Some Fail,2,1,1,0
syncfs,Some Fail,1,0,1,0
syscall,All Pass,1,1,0,0
sysconf,All Pass,1,1,0,0
sysctl,All Pass,0,0,0,3
sysfs,All Pass,5,5,0,0
sysinfo,Some Fail,3,2,1,0
syslog,All Pass,2,2,0,0
tee,All Pass,2,2,0,0
tgkill,All Pass,3,3,0,0
time,All Pass,1,1,0,0
timer_create,All Pass,3,3,0,0
timer_delete,All Pass,2,2,0,0
timerfd,Some Fail,8,7,1,0
timer_getoverrun,All Pass,1,1,0,0
timer_gettime,All Pass,1,1,0,0
timer_settime,All Pass,3,3,0,0
times,All Pass,2,2,0,0
tkill,All Pass,2,2,0,0
truncate,All Pass,4,4,0,0
ulimit,All Pass,1,1,0,0
umask,All Pass,1,1,0,0
umount,All Pass,3,3,0,0
umount2,All Pass,2,2,0,0
uname,All Pass,3,3,0,0
unlink,All Pass,4,4,0,0
unlinkat,All Pass,1,1,0,0
unshare,All Pass,2,2,0,0
userfaultfd,All Pass,0,0,0,1
ustat,All Pass,2,2,0,0
utime,All Pass,7,7,0,0
utimensat,All Pass,1,1,0,0
utimes,All Pass,1,1,0,0
vfork,All Pass,2,2,0,0
vhangup,All Pass,2,2,0,0
vmsplice,All Pass,4,4,0,0
wait,All Pass,2,2,0,0
wait4,All Pass,3,3,0,0
waitid,All Pass,11,11,0,0
waitpid,All Pass,13,13,0,0
write,All Pass,6,6,0,0
writev,All Pass,5,5,0,1
Total,,1206,1120,86,159
